"CONTEXTE";"MATRICE1";"REGION";"SECTEUR";"MOIS";"clust.num"
"2022LSAL00175";"Surveillance";"Viande porcine";"DOM";"Alimentation humaine";"01";2
"2022LSAL00173";"Surveillance";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"01";14
"2022LSAL00172";"Surveillance";"Coquilles de mollusques";"Nouvelle Aquitaine";"Alimentation humaine";"01";16
"2022LSAL00091";"Surveillance";"Bovins";"Normandie";"Santé et production animales";"01";15
"2022LSAL00088";"Surveillance";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"01";14
"2022LSAL00035";"Etudes cliniques";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"12";7
"2022LSAL00034";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2022LSAL00033";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2022LSAL00031";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2022LSAL00030";"Surveillance";"Viande de poulet (Gallus gallus)";"Bretagne";"Alimentation humaine";"01";16
"2022LSAL00023";"Surveillance";"Viande des autres volailles";"Nouvelle Aquitaine";"Alimentation humaine";"12";17
"2022LSAL00020";"Surveillance";"Viande porcine";"Nouvelle Aquitaine";"Alimentation humaine";"12";17
"2021LSAL10296";"Surveillance";"Viande porcine";"Hauts de France";"Alimentation humaine";"12";18
"2021LSAL10295";"Programmes de contrôle et d'éradication";"Gallus gallus";"Normandie";"Santé et production animales";"12";6
"2021LSAL10271";"Alerte Produit";"Viande porcine";"Hauts de France";"Alimentation humaine";"12";18
"2021LSAL10264";"Contrôle autorité (national)";"Viande porcine";"Bretagne";"Alimentation humaine";"12";18
"2021LSAL10263";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"12";18
"2021LSAL10261";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"10";2
"2021LSAL10260";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"10";2
"2021LSAL10258";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"11";2
"2021LSAL10257";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"11";2
"2021LSAL10239";"Surveillance";"Viande, Viande mixte";"Grand Est";"Alimentation humaine";"10";19
"2021LSAL10222";"Surveillance";"Aliments pour animaux, non précisé";"Pays de la Loire";"Alimentation animale";"12";5
"2021LSAL10220";"Epidémie/Alerte";"Viande porcine";"Bretagne";"Alimentation humaine";"12";18
"2021LSAL10214";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"11";6
"2021LSAL10213";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"11";9
"2021LSAL10211";"Surveillance";"Viande de canard";"Nouvelle Aquitaine";"Alimentation humaine";"11";17
"2021LSAL10210";"Surveillance";"Viande de canard";"Nouvelle Aquitaine";"Alimentation humaine";"11";17
"2021LSAL10209";"Surveillance";"Viande de canard";"Nouvelle Aquitaine";"Alimentation humaine";"11";17
"2021LSAL10113";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"11";2
"2021LSAL10080";"Programmes de contrôle et d'éradication";"Dindes";"Occitanie";"Santé et production animales";"11";20
"2021LSAL10059";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"11";3
"2021LSAL10035";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"10";9
"2021LSAL10028";"Surveillance";"Viande, Viande mixte";"Grand Est";"Alimentation humaine";"10";19
"2021LSAL10019";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"11";6
"2021LSAL09606";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL09605";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"10";14
"2021LSAL09591";"Autre (ex. prestation de service, EILA ..., etc.)";"non spécifié";NA;"Non spécifié";"11";21
"2021LSAL09570";"Etudes cliniques";"Bovins";"Normandie";"Santé et production animales";"10";7
"2021LSAL09569";"Etudes cliniques";"Bovins";"Normandie";"Santé et production animales";"10";7
"2021LSAL09568";"Alerte Produit";"Viande d'origine bovine";"Grand Est";"Alimentation humaine";"11";22
"2021LSAL09555";"Etudes cliniques";"Moutons";"Provence Alpes Cote d Azur";"Santé et production animales";"10";23
"2021LSAL09539";"Surveillance";"Viande porcine";"Hauts de France";"Alimentation humaine";"10";2
"2021LSAL09535";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"10";2
"2021LSAL09529";"Surveillance";"Bovins";"Bourgogne Franche Comte";"Santé et production animales";"10";24
"2021LSAL09509";"Surveillance";"Matières premières d'origine animal terrestre";"Bretagne";"Alimentation animale";"10";25
"2021LSAL09493";"Etudes cliniques";"Solipèdes, domestique";"Ile de France";"Santé et production animales";"10";23
"2021LSAL09492";"Etudes cliniques";"Solipèdes, domestique";"Ile de France";"Santé et production animales";"10";23
"2021LSAL09484";"Alerte Produit";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"09";26
"2021LSAL09483";"Alerte Produit";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"09";26
"2021LSAL09482";"Alerte Produit";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"09";26
"2021LSAL09438";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"10";14
"2021LSAL09437";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"10";14
"2021LSAL09417";"Surveillance";"Bovins";"Occitanie";"Santé et production animales";"10";24
"2021LSAL07599";"Surveillance";"Viande porcine";"Pays de la Loire";"Alimentation humaine";"09";2
"2021LSAL07593";"Surveillance";"Viande porcine";"Pays de la Loire";"Alimentation humaine";"06";2
"2021LSAL07590";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"09";2
"2021LSAL07589";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"09";2
"2021LSAL07587";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"10";2
"2021LSAL07586";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"10";2
"2021LSAL07585";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"09";2
"2021LSAL07584";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"09";2
"2021LSAL07583";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"09";2
"2021LSAL07582";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"09";2
"2021LSAL07581";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"09";2
"2021LSAL07580";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"07";2
"2021LSAL07566";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"09";14
"2021LSAL07565";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"09";14
"2021LSAL07564";"Surveillance";"produits laitiers, non précisé";"Bretagne";"Alimentation humaine";"09";27
"2021LSAL07557";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"09";9
"2021LSAL07552";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"09";14
"2021LSAL07544";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"09";3
"2021LSAL07527";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"09";2
"2021LSAL07521";"Programmes de contrôle et d'éradication";"Gallus gallus";"Normandie";"Santé et production animales";"09";6
"2021LSAL07442";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"09";3
"2021LSAL07440";"Programmes de contrôle et d'éradication";"Dindes";"Bretagne";"Santé et production animales";"09";20
"2021LSAL07417";"Surveillance";"Viande porcine";"Grand Est";"Alimentation humaine";"09";2
"2021LSAL07413";"Surveillance";"Pintades";"Bretagne";"Santé et production animales";"09";1
"2021LSAL07086";"Surveillance";"Viande porcine";"Hauts de France";"Alimentation humaine";"08";2
"2021LSAL07082";"Alerte Produit";"Viande de poulet (Gallus gallus)";"Nouvelle Aquitaine";"Alimentation humaine";"09";28
"2021LSAL07080";"Non spécifié";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";29
"2021LSAL07079";"Non spécifié";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";29
"2021LSAL07078";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL07077";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL07076";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL07075";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL07072";"Surveillance";"Viande de poulet (Gallus gallus)";"DOM";"Alimentation humaine";"08";30
"2021LSAL07067";"Surveillance";"Gallus gallus";"Bretagne";"Santé et production animales";"09";1
"2021LSAL07066";"Contrôle autorité (national)";"Gallus gallus";"Occitanie";"Santé et production animales";"09";31
"2021LSAL07065";"Etudes cliniques";"Porcs";"Nouvelle Aquitaine";"Santé et production animales";"08";32
"2021LSAL06953";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06952";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06947";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"08";3
"2021LSAL06928";"Programmes de contrôle et d'éradication";"Dindes";"Bretagne";"Santé et production animales";"12";20
"2021LSAL06902";"Surveillance";"Viande porcine";"Nouvelle Aquitaine";"Alimentation humaine";"08";2
"2021LSAL06901";"Surveillance";"Viande porcine";"Nouvelle Aquitaine";"Alimentation humaine";"08";2
"2021LSAL06889";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"08";3
"2021LSAL06888";"Surveillance";"Lait d'autres espèces animales ou non précisé";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06883";"Plan de surveillance actif";"Aliments composés pour Porcs";"Pays de la Loire";"Alimentation animale";"08";33
"2021LSAL06881";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06880";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06879";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06878";"Surveillance";"Denrées alimentaires, non précisé";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06877";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06876";"Epidémie/Alerte";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"08";34
"2021LSAL06875";"Epidémie/Alerte";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"08";34
"2021LSAL06874";"Epidémie/Alerte";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"08";34
"2021LSAL06872";"Epidémie/Alerte";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"08";34
"2021LSAL06869";"Surveillance";"Produits de la pêche, non précisé";"Auvergne Rhone Alpes";"Alimentation humaine";"07";14
"2021LSAL06868";"Surveillance";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"08";14
"2021LSAL06867";"Programmes de contrôle et d'éradication";"Dindes";"Bretagne";"Santé et production animales";"08";20
"2021LSAL06866";"Programmes de contrôle et d'éradication";"Dindes";"Bretagne";"Santé et production animales";"08";20
"2021LSAL06865";"Programmes de contrôle et d'éradication";"Dindes";"Bretagne";"Santé et production animales";"08";20
"2021LSAL06864";"Programmes de contrôle et d'éradication";"Dindes";"Bretagne";"Santé et production animales";"08";20
"2021LSAL06863";"Programmes de contrôle et d'éradication";"Dindes";"Bretagne";"Santé et production animales";"08";20
"2021LSAL06748";"Surveillance";"Gallus gallus";"Auvergne Rhone Alpes";"Santé et production animales";"08";9
"2021LSAL06747";"Surveillance";"Gallus gallus";"Auvergne Rhone Alpes";"Santé et production animales";"07";9
"2021LSAL06744";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"08";2
"2021LSAL06703";"Surveillance";"Gallus gallus";"Hauts de France";"Santé et production animales";"07";9
"2021LSAL06697";"Etudes cliniques";"Cerfs sauvages (chevreuil)";"Bourgogne Franche Comte";"Santé et production animales";"08";32
"2021LSAL06694";"Surveillance";"Viande porcine";"Bourgogne Franche Comte";"Alimentation humaine";"06";2
"2021LSAL06689";"Non spécifié";"Fromages fabriqués à partir de lait de vache";NA;"Alimentation humaine";"10";29
"2021LSAL06683";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"08";2
"2021LSAL06676";"Surveillance";"Denrées alimentaires, non précisé";"Bretagne";"Alimentation humaine";"07";27
"2021LSAL06543";"Surveillance";"animaux  d'élevage";"Bretagne";"Santé et production animales";"07";1
"2021LSAL06542";"Surveillance";"Denrées alimentaires, non précisé";"Bretagne";"Alimentation humaine";"07";27
"2021LSAL06540";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"07";6
"2021LSAL06514";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"07";2
"2021LSAL06507";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"07";6
"2021LSAL06499";"Etudes cliniques";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"07";7
"2021LSAL06498";"Surveillance";"Gallus gallus";"Centre Val de Loire";"Santé et production animales";"07";9
"2021LSAL06475";"Surveillance";"Viande de dinde";"Bretagne";"Alimentation humaine";"07";27
"2021LSAL06474";"Surveillance";"Viande porcine";"Grand Est";"Alimentation humaine";"07";2
"2021LSAL06468";"Programmes de contrôle et d'éradication";"Gallus gallus";"Hauts de France";"Santé et production animales";"07";6
"2021LSAL06467";"Programmes de contrôle et d'éradication";"Gallus gallus";"Auvergne Rhone Alpes";"Santé et production animales";"07";6
"2021LSAL06465";"Surveillance";"Viande de poulet (Gallus gallus)";"Grand Est";"Alimentation humaine";"07";19
"2021LSAL06429";"Epidémie/Alerte";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"07";34
"2021LSAL06428";"Epidémie/Alerte";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"07";34
"2021LSAL06427";"Epidémie/Alerte";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"07";34
"2021LSAL06425";"Epidémie/Alerte";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"07";34
"2021LSAL06420";"Alerte Produit";"Viande porcine";"Grand Est";"Alimentation humaine";"06";22
"2021LSAL06390";"Programmes de contrôle et d'éradication";"Gallus gallus";"Hauts de France";"Santé et production animales";"06";6
"2021LSAL06130";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"06";2
"2021LSAL06011";"Surveillance";"Viande d'origine bovine et porcine";"Bretagne";"Alimentation humaine";"06";27
"2021LSAL06010";"Surveillance";"Viande, Viande mixte";"Bretagne";"Alimentation humaine";"06";27
"2021LSAL05670";"Programmes de contrôle et d'éradication";"Gallus gallus";"Bretagne";"Santé et production animales";"06";6
"2021LSAL05661";"Alerte Produit";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"05";26
"2021LSAL05652";"Plan de surveillance actif";"Viande porcine";"Grand Est";"Alimentation humaine";"05";35
"2021LSAL05650";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"05";3
"2021LSAL05640";"Programmes de contrôle et d'éradication";"Gallus gallus";"Grand Est";"Santé et production animales";"04";6
"2021LSAL03812";"Surveillance";"Viande de dinde";"Bourgogne Franche Comte";"Alimentation humaine";"05";36
"2021LSAL03810";"Etudes cliniques";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"05";7
"2021LSAL03750";"Surveillance";"Viande de poulet (Gallus gallus)";"DOM";"Alimentation humaine";"04";30
"2021LSAL03740";"Surveillance";"Viande porcine";"Hauts de France";"Alimentation humaine";"05";2
"2021LSAL03739";"Programmes de contrôle et d'éradication";"Gallus gallus";"Bretagne";"Santé et production animales";"05";6
"2021LSAL03731";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"05";3
"2021LSAL03723";"Surveillance";"Pintades";"Nouvelle Aquitaine";"Santé et production animales";"04";10
"2021LSAL03721";"Surveillance";"Gallus gallus";"Nouvelle Aquitaine";"Santé et production animales";"03";10
"2021LSAL03680";"Alerte Produit";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"04";37
"2021LSAL03679";"Alerte Produit";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"04";37
"2021LSAL03678";"Alerte Produit";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"04";37
"2021LSAL03677";"Alerte Produit";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"04";26
"2021LSAL03385";"Surveillance";"Salades prêtes-à-manger";"DOM";"Alimentation humaine";"04";30
"2021LSAL03334";"Surveillance";"Aliment pour animaux domestiques";"Bretagne";"Alimentation animale";"04";25
"2021LSAL03308";"Surveillance";"Dindes";"DOM";"Santé et production animales";"03";38
"2021LSAL03307";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"03";9
"2021LSAL03303";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"03";2
"2021LSAL03289";"Surveillance";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"02";24
"2021LSAL03288";"Surveillance";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"01";24
"2021LSAL03287";"Surveillance";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"01";24
"2021LSAL03284";"Surveillance";"Viande porcine";"Grand Est";"Alimentation humaine";"04";2
"2021LSAL03275";"Surveillance";"Gallus gallus";"Bretagne";"Santé et production animales";"03";1
"2021LSAL03273";"Non spécifié";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";29
"2021LSAL03272";"Non spécifié";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";29
"2021LSAL03271";"Non spécifié";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";29
"2021LSAL03270";"Non spécifié";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";39
"2021LSAL03269";"Non spécifié";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";29
"2021LSAL03268";"Non spécifié";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";39
"2021LSAL03267";"Non spécifié";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";39
"2021LSAL03266";"Non spécifié";"Fromages fabriqués à partir de lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";29
"2021LSAL03265";"Non spécifié";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";39
"2021LSAL03264";"Non spécifié";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";39
"2021LSAL03263";"Non spécifié";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"03";39
"2021LSAL03262";"Surveillance";"Dindes";"Bretagne";"Santé et production animales";"04";1
"2021LSAL03261";"Surveillance";"Gallus gallus";"Bretagne";"Santé et production animales";"04";1
"2021LSAL02940";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"03";2
"2021LSAL02926";"Surveillance";"Viande porcine";NA;"Alimentation humaine";"03";2
"2021LSAL02856";"Surveillance";"Viande de dinde";"Bretagne";"Alimentation humaine";"03";27
"2021LSAL02845";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"08";9
"2021LSAL02844";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"08";9
"2021LSAL02839";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"08";9
"2021LSAL02835";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"06";9
"2021LSAL02824";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"02";9
"2021LSAL02822";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"02";9
"2021LSAL01976";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"03";2
"2021LSAL01970";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"03";2
"2021LSAL01572";"Contrôle autorité (national et UE)";"non spécifié";"Nouvelle Aquitaine";"Eco-système";"02";40
"2021LSAL01561";"Surveillance";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"03";24
"2021LSAL01546";"Surveillance";"Aliment pour animaux domestiques";"Bretagne";"Alimentation animale";"01";25
"2021LSAL01468";"Surveillance";"Viande porcine";"Hauts de France";"Alimentation humaine";"02";2
"2021LSAL01440";"Etudes cliniques";"Bovins";"Bourgogne Franche Comte";"Santé et production animales";"02";7
"2021LSAL01425";"Surveillance";"Viande d'origine bovine";NA;"Alimentation humaine";"02";41
"2021LSAL01424";"Surveillance";"Viande d'origine bovine";NA;"Alimentation humaine";"02";41
"2021LSAL01423";"Surveillance";"Viande porcine";NA;"Alimentation humaine";"02";2
"2021LSAL01409";"Surveillance";"Viande porcine";"Nouvelle Aquitaine";"Alimentation humaine";"01";2
"2021LSAL01357";"Etudes cliniques";"Bovins";"Bourgogne Franche Comte";"Santé et production animales";"02";7
